circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب,center_name_x,center_code,district_code,district_name,region_code,region_name,center_name_y,center_name_ar,LATITUDE,LONGITUDE
Ariana,ArianaVille,4010100107,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 7,0,0,5,3,0,0,154,18,1,0,1,0,8,0,0,2,0,0,0,0,1,0,6,93,0,0,63,355,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010200201,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 1,0,0,1,3,0,1,376,10,0,1,0,0,12,1,1,5,0,0,0,0,1,0,1,91,0,3,20,527,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200202,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 2,1,0,1,6,0,0,327,5,0,0,1,0,16,1,0,3,0,0,0,0,4,0,5,105,0,6,32,513,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200203,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 3,0,0,5,6,0,2,309,0,1,0,3,0,8,0,0,2,0,0,1,0,3,0,3,124,0,1,41,509,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200204,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 4,0,0,6,7,0,0,283,6,0,0,3,0,10,3,0,3,0,0,0,1,2,1,5,105,1,4,50,490,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200205,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 5,0,0,2,11,0,0,276,9,0,0,5,0,10,2,0,9,2,0,0,0,3,0,5,124,0,7,27,492,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200206,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 6,0,0,3,10,0,1,255,10,1,1,1,0,10,0,0,2,0,0,0,0,0,0,6,82,1,1,71,455,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200207,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 7,0,0,6,6,0,1,233,16,0,2,2,0,8,0,0,5,0,0,0,1,1,0,5,76,2,1,82,447,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200208,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 8,1,0,3,7,0,0,251,14,0,1,2,0,13,0,0,5,0,0,0,0,7,0,4,73,0,5,65,451,م إبتدائية رياض الأندلس - أريانة العليا,1344.0,4.0,Ariana,1033.0,Ariana Ville,E.P.RIADH El ANDALOUS  Ariana SUP,م إبتدائية رياض الأندلس - أريانة العليا,36.87902579,10.17441828
Ariana,ArianaVille,4010200301,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 1,2,0,0,4,2,0,249,17,0,2,3,1,2,2,0,3,0,0,1,1,2,0,1,71,1,7,23,394,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200302,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 2,0,0,2,5,0,1,226,26,0,0,2,0,2,0,2,1,1,0,0,0,2,0,3,77,0,7,23,380,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200303,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 3,0,0,2,2,0,1,197,14,0,0,2,0,4,3,0,2,0,0,0,0,4,0,3,106,1,8,31,380,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200304,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 4,0,0,1,6,0,0,156,26,0,1,0,0,9,0,0,4,1,0,0,0,2,0,3,129,0,5,29,372,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200305,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 5,0,0,5,6,0,0,132,44,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,74,2,3,56,331,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200306,م إبتدائية طريق بنزرت أريانة - أريانة العليا   مكتب 6,0,0,3,3,0,0,125,30,0,0,1,0,4,0,0,5,0,0,0,0,0,0,1,114,0,5,36,327,م إبتدائية طريق بنزرت أريانة - أريانة العليا,1345.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA RTE DE BIZERTE ARIANA SUP,م إبتدائية طريق بنزرت أريانة - أريانة العليا,36.86406141,10.1857847
Ariana,ArianaVille,4010200401,م إبتدائية أريانة العليا   مكتب 1,1,0,3,3,0,0,284,22,0,2,2,0,6,1,0,1,0,0,0,0,2,0,2,67,0,6,30,432,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200402,م إبتدائية أريانة العليا   مكتب 2,1,0,1,1,0,1,304,19,1,3,1,0,1,0,1,0,0,0,1,0,5,0,2,57,1,4,23,427,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200403,م إبتدائية أريانة العليا   مكتب 3,0,0,1,2,0,2,240,10,1,1,1,0,8,0,0,3,0,0,0,0,2,0,5,92,0,3,39,410,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200404,م إبتدائية أريانة العليا   مكتب 4,0,0,2,9,0,2,233,23,1,0,1,0,5,0,0,2,0,0,0,1,1,0,0,102,1,11,25,419,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200405,م إبتدائية أريانة العليا   مكتب 5,0,1,5,10,1,1,175,31,0,1,3,0,9,1,0,0,0,0,0,2,1,0,1,98,0,3,43,386,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200406,م إبتدائية أريانة العليا   مكتب 6,0,0,5,6,0,0,172,34,0,2,4,0,5,1,0,0,0,0,0,1,0,0,2,69,2,6,78,387,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200407,م إبتدائية أريانة العليا   مكتب 7,0,0,0,7,0,0,181,40,0,1,1,0,2,0,0,2,0,0,0,0,1,0,5,66,1,5,58,370,م إبتدائية أريانة العليا,1346.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA SUPRIEURE,م إبتدائية أريانة العليا,36.86226853,10.17792118
Ariana,ArianaVille,4010200501,م إبتدائية برج التركي - اريانة العليا  مكتب 1,1,0,2,0,0,2,151,40,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,54,2,15,19,293,م إبتدائية برج التركي - اريانة العليا,1347.0,4.0,Ariana,1033.0,Ariana Ville,E.P.BORJ TOURKI ARIANA SUP,م إبتدائية برج التركي - اريانة العليا,36.869434999999996,10.169289
Ariana,ArianaVille,4010300601,م إبتدائية سيدي الجبالي - اريانة المدينة   مكتب 1,0,1,2,2,0,1,299,28,0,2,1,0,8,1,0,3,2,0,0,1,1,0,3,84,0,5,17,461,م إبتدائية سيدي الجبالي - اريانة المدينة,1348.0,4.0,Ariana,1033.0,Ariana Ville,E.P.SIDI JEBALI ARIANA VILLE,م إبتدائية سيدي الجبالي - اريانة المدينة,36.86162559,10.19417118
Ariana,ArianaVille,4010300602,م إبتدائية سيدي الجبالي - اريانة المدينة   مكتب 2,0,0,3,4,0,0,259,25,1,1,2,0,6,0,0,3,0,0,0,0,7,0,4,101,1,7,26,450,م إبتدائية سيدي الجبالي - اريانة المدينة,1348.0,4.0,Ariana,1033.0,Ariana Ville,E.P.SIDI JEBALI ARIANA VILLE,م إبتدائية سيدي الجبالي - اريانة المدينة,36.86162559,10.19417118
Ariana,ArianaVille,4010300603,م إبتدائية سيدي الجبالي - اريانة المدينة   مكتب 3,0,0,4,2,0,0,163,30,0,0,3,0,7,0,0,3,0,0,0,0,0,0,4,140,0,14,37,407,م إبتدائية سيدي الجبالي - اريانة المدينة,1348.0,4.0,Ariana,1033.0,Ariana Ville,E.P.SIDI JEBALI ARIANA VILLE,م إبتدائية سيدي الجبالي - اريانة المدينة,36.86162559,10.19417118
Ariana,ArianaVille,4010300604,م إبتدائية سيدي الجبالي - اريانة المدينة   مكتب 4,0,0,2,2,0,1,161,40,0,0,6,0,4,2,0,1,1,0,0,0,1,0,3,104,0,2,58,388,م إبتدائية سيدي الجبالي - اريانة المدينة,1348.0,4.0,Ariana,1033.0,Ariana Ville,E.P.SIDI JEBALI ARIANA VILLE,م إبتدائية سيدي الجبالي - اريانة المدينة,36.86162559,10.19417118
Ariana,ArianaVille,4010300605,م إبتدائية سيدي الجبالي - اريانة المدينة   مكتب 5,0,1,3,1,0,1,149,27,0,0,2,0,5,0,0,2,1,0,0,0,0,1,5,116,0,8,43,365,م إبتدائية سيدي الجبالي - اريانة المدينة,1348.0,4.0,Ariana,1033.0,Ariana Ville,E.P.SIDI JEBALI ARIANA VILLE,م إبتدائية سيدي الجبالي - اريانة المدينة,36.86162559,10.19417118
Ariana,ArianaVille,4010300701,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 1,0,1,4,9,1,4,318,10,0,0,0,0,26,1,0,4,0,0,0,0,4,0,6,90,0,6,21,505,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300702,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 2,1,0,2,3,0,1,280,26,0,2,4,0,22,1,0,1,0,0,0,0,6,1,3,90,0,5,15,463,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300703,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 3,0,0,4,2,0,1,238,18,0,0,2,0,14,3,1,3,0,0,0,0,3,0,2,102,0,7,37,437,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300704,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 4,0,0,2,4,1,2,148,21,0,1,2,0,19,1,0,3,0,0,0,0,2,0,1,176,0,9,27,419,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300705,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 5,0,0,3,3,0,1,192,21,0,0,1,0,16,1,0,1,0,1,0,0,3,0,2,112,1,4,52,414,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300706,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 6,0,0,5,3,0,1,160,29,0,0,3,0,13,0,0,0,0,1,0,1,4,0,0,102,2,8,59,391,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300707,م إبتدائية الحبيب ثامر - اريانة المدينة   مكتب 7,0,0,3,4,0,2,123,26,0,0,1,0,9,0,0,1,0,0,0,0,0,0,2,131,2,8,58,370,م إبتدائية الحبيب ثامر - اريانة المدينة,1349.0,4.0,Ariana,1033.0,Ariana Ville,E.P.HABIB THAMEUR ARIANA,م إبتدائية الحبيب ثامر - اريانة المدينة,36.857092,10.192214
Ariana,ArianaVille,4010300801,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 1,0,0,1,3,1,0,235,17,0,0,3,0,14,0,0,3,0,0,0,0,4,0,2,69,0,3,33,388,م إبتدائية المدرسة الدوليـة - اريانة المدينة,1350.0,4.0,Ariana,1033.0,Ariana Ville,E.P.TUNISIE INTERNATIONALE ARIANA VILLE,م إبتدائية المدرسة الدوليـة - اريانة المدينة,36.854145,10.195846000000001
Ariana,ArianaVille,4010300802,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 2,1,0,5,3,0,0,186,20,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,104,0,5,36,372,م إبتدائية المدرسة الدوليـة - اريانة المدينة,1350.0,4.0,Ariana,1033.0,Ariana Ville,E.P.TUNISIE INTERNATIONALE ARIANA VILLE,م إبتدائية المدرسة الدوليـة - اريانة المدينة,36.854145,10.195846000000001
Ariana,ArianaVille,4010300803,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 3,0,0,4,2,0,2,144,22,0,0,4,0,8,0,0,2,0,0,0,0,1,0,5,106,0,12,39,351,م إبتدائية المدرسة الدوليـة - اريانة المدينة,1350.0,4.0,Ariana,1033.0,Ariana Ville,E.P.TUNISIE INTERNATIONALE ARIANA VILLE,م إبتدائية المدرسة الدوليـة - اريانة المدينة,36.854145,10.195846000000001
Ariana,ArianaVille,4010300804,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 4,0,0,3,1,0,1,117,21,0,0,1,0,5,0,0,3,0,0,0,0,1,0,2,96,0,5,52,308,م إبتدائية المدرسة الدوليـة - اريانة المدينة,1350.0,4.0,Ariana,1033.0,Ariana Ville,E.P.TUNISIE INTERNATIONALE ARIANA VILLE,م إبتدائية المدرسة الدوليـة - اريانة المدينة,36.854145,10.195846000000001
Ariana,ArianaVille,4010300805,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 5,0,0,3,1,0,0,97,18,0,0,2,0,4,0,0,7,0,0,0,0,0,0,3,112,0,6,57,310,م إبتدائية المدرسة الدوليـة - اريانة المدينة,1350.0,4.0,Ariana,1033.0,Ariana Ville,E.P.TUNISIE INTERNATIONALE ARIANA VILLE,م إبتدائية المدرسة الدوليـة - اريانة المدينة,36.854145,10.195846000000001
Ariana,ArianaVille,4010300901,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 1,0,1,1,3,0,0,316,14,0,0,0,0,10,2,0,0,0,0,0,1,5,0,4,74,0,2,27,460,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300902,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 2,0,0,1,3,2,0,301,28,0,0,1,1,7,2,0,1,0,0,0,0,2,0,4,75,0,6,20,454,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300903,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 3,2,1,1,1,0,1,285,16,0,0,2,0,4,0,0,2,0,0,0,0,2,0,2,94,0,5,28,446,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300904,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 4,0,0,3,6,0,1,184,16,1,0,1,0,7,1,0,0,1,0,0,0,1,0,4,119,0,5,52,402,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300905,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 5,0,0,5,3,0,0,182,22,0,1,4,0,12,2,0,1,0,0,0,0,5,0,2,136,0,11,30,416,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300906,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 6,0,0,4,9,0,0,184,29,0,0,2,0,7,0,0,1,1,0,0,1,1,0,1,101,1,6,45,393,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300907,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 7,0,0,2,8,0,1,173,29,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,69,1,5,80,374,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300908,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 8,0,0,3,3,0,2,171,32,0,0,4,0,7,0,0,1,0,0,0,0,1,0,4,81,0,4,46,359,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010300909,م إبتدائية فرحات حشاد أريانة - اريانة المدينة   مكتب 9,0,0,5,6,0,1,121,17,0,0,1,0,13,1,0,4,0,0,1,0,1,0,6,95,0,2,70,344,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,1351.0,4.0,Ariana,1033.0,Ariana Ville,E.P.ARIANA F HACHED,م إبتدائية فرحات حشاد أريانة - اريانة المدينة,36.856035,10.188638000000001
Ariana,ArianaVille,4010401001,م إبتدائية المنزه الخامس 1شارع افريقيا   مكتب 1,0,0,2,3,0,0,394,6,0,0,0,0,5,0,0,1,0,0,0,0,6,0,6,54,0,3,13,493,م إبتدائية المنزه الخامس 1شارع افريقيا,1352.0,4.0,Ariana,1033.0,Ariana Ville,E.P.MENZAH 5/1 AV. D'AFRIQUE,م إبتدائية المنزه الخامس 1شارع افريقيا,36.847264,10.178728999999999
Ariana,ArianaVille,4010401002,م إبتدائية المنزه الخامس 1شارع افريقيا   مكتب 2,0,0,3,6,1,0,409,8,0,0,1,0,7,0,0,1,0,0,0,1,6,0,3,40,0,5,22,513,م إبتدائية المنزه الخامس 1شارع افريقيا,1352.0,4.0,Ariana,1033.0,Ariana Ville,E.P.MENZAH 5/1 AV. D'AFRIQUE,م إبتدائية المنزه الخامس 1شارع افريقيا,36.847264,10.178728999999999
Ariana,ArianaVille,4010401003,م إبتدائية المنزه الخامس 1شارع افريقيا   مكتب 3,1,0,6,9,0,1,392,10,0,0,0,0,3,1,0,2,0,0,0,0,3,0,1,68,0,1,23,521,م إبتدائية المنزه الخامس 1شارع افريقيا,1352.0,4.0,Ariana,1033.0,Ariana Ville,E.P.MENZAH 5/1 AV. D'AFRIQUE,م إبتدائية المنزه الخامس 1شارع افريقيا,36.847264,10.178728999999999
